name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z 32 GB,754.94,"5,6000","2,16",23.592,White / Black,13.333,40
TEAMGROUP Elite 32 GB,54.99,"4,3200","2,16",1.718,Black,13.75,22
Corsair Vengeance LPX 8 GB,24.99,"4,2400","1,8",3.124,Black / Yellow,13.333,16
G.Skill Ripjaws S5 32 GB,102.99,"5,5600","2,16",3.218,Black,10,28
TEAMGROUP T-Force Vulcan 32 GB,87.99,"5,5600","2,16",2.75,Black,12.857,36
Crucial Pro 32 GB,66.67,"4,3200","2,16",2.083,Black,13.75,22
G.Skill Flare X5 64 GB,199.99,"5,6000","2,32",3.125,Black,10,30
Corsair Dominator Platinum RGB 32 GB,174.99,"5,6200","2,16",5.468,Black,11.613,36
TEAMGROUP T-Force Vulcan Z 32 GB,59.99,"4,3200","2,16",1.875,Gray,10,16
Corsair Vengeance LPX 16 GB,38.99,"4,3200","2,8",2.437,Black,10,16
OLOy MD4U083016BGDA 16 GB,33.99,"4,3000","2,8",2.124,Black,10.667,16
G.Skill Trident Z5 Neo RGB 64 GB,209.99,"5,6000","2,32",3.281,Black / Silver,10,30
Corsair Vengeance RGB 192 GB,719.99,"5,5200","4,48",3.75,Black,14.615,38
Corsair Vengeance 32 GB,119.99,"5,6400","2,16",3.75,Black,10,32
Corsair Vengeance RGB 32 GB,114.99,"5,5200","2,16",3.593,White,15.385,40
Corsair Vengeance RGB Pro 32 GB,97.99,"4,3200","2,16",3.062,White,10,16
G.Skill Trident Z Neo 32 GB,89.99,"4,3600","2,16",2.812,Black / Silver,8.889,16
Kingston HyperX Fury 16 GB,,"4,3200","2,8",,Black / Silver,10,16
Kingston FURY Beast RGB 16 GB,87.99,"5,6000","2,8",5.499,Black,13.333,40
G.Skill Trident Z5 Neo 32 GB,115.99,"5,6000","2,16",3.625,Black,10,30
Kingston FURY Beast 16 GB,69.98,"5,5200","2,8",4.374,Black,15.385,40
Corsair Vengeance RGB Pro 16 GB,64.99,"4,3600","2,8",4.062,Black,10,18
Corsair Vengeance 128 GB,429.99,"5,5600","4,32",3.359,Black,14.286,40
G.Skill Ripjaws V 32 GB,67.98,"4,4000","2,16",2.124,Black,9,18
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",2.437,Gray,10,16
Corsair Vengeance RGB 32 GB,114.99,"5,5200","2,16",3.593,Black,15.385,40
Kingston ValueRAM 4 GB,9.99,"4,3200","1,4",2.498,Green,13.75,22
Patriot Viper Venom 16 GB,62.99,"5,5200","2,8",3.937,Black / White,13.846,36
Corsair Dominator Titanium 64 GB,339.99,"5,6400","4,16",5.312,White,10,32
Kingston FURY Beast 8 GB,26.81,"4,3200","1,8",3.351,Black,10,16
G.Skill Trident Z5 RGB 96 GB,399.99,"5,6800","2,48",4.167,Black,10,34
TEAMGROUP T-Force Vulcan 32 GB,89.99,"5,5600","2,16",2.812,Black,11.429,32
Corsair Vengeance RGB 32 GB,124.99,"5,6400","2,16",3.906,Black / Gray,10,32
Corsair Vengeance 16 GB,79.98,"3,1600","2,8",4.999,Black / Yellow,11.25,9
