name,price,type,efficiency,wattage,modular,color
Montech TITAN GOLD 850W,119.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 P2,,ATX,platinum,1000,Full,
Azza ARGB,62.99,ATX,bronze,650,false,Black
Corsair CX750 (2017),94.99,ATX,bronze,750,false,
Thermaltake Toughpower GF1 ARGB,,ATX,gold,650,Full,
SeaSonic FOCUS,,ATX,platinum,550,Full,Black
Corsair TX750M,,ATX,gold,750,Semi,Black
Deepcool PK700D,,ATX,bronze,700,false,Black
Vetroo GV1000,129.99,ATX,gold,1000,Full,Black
Cooler Master Elite V3,,ATX,plus,600,false,Black
Corsair VS450,,ATX,plus,450,false,
Gigabyte AORUS P1200W,332.55,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 850 P6,236.1,ATX,platinum,850,Full,Black / Silver
SeaSonic FOCUS SGX,181.83,SFX,gold,650,Full,Black
SHARKOON WPM Gold Zero 550,,ATX,gold,550,Semi,Black
Thermaltake Smart BX1 550,,ATX,bronze,550,false,Black
SeaSonic PRIME PX-1600 ATX 3.0,500.36,ATX,platinum,1600,Full,Black / Silver
Cooler Master MWE GOLD 650 V2 FULL MODULAR,,ATX,gold,650,Full,Black
SeaSonic G12 GM,132.52,ATX,gold,850,Semi,Black / Blue
Thermaltake Litepower,,ATX,,650,false,
Thermaltake Toughpower GF2 ARGB,142.99,ATX,gold,750,Full,Black
Asus ROG Strix,,ATX,gold,650,Full,Black / Red
Cooler Master V SFX Platinum,,SFX,platinum,1300,Full,Black
Thermaltake Toughpower iRGB PLUS TT Premium Edition,,ATX,titanium,1650,Full,Black
SeaSonic B12 BC,,ATX,bronze,850,false,
Segotep GP,,ATX,gold,600,false,Black
Rosewill HIVE,,ATX,bronze,850,Full,
Cooler Master MWE Gold V2 ATX3.0,237.28,ATX,gold,1050,Full,Black
Cooler Master G800,,ATX,gold,800,false,Black
Thermaltake TR2 S,99.26,ATX,plus,600,false,Black
Deepcool PF650 230V,,ATX,plus,650,false,Black
GAMDIAS KRATOS P1 G,84.99,ATX,gold,750,false,Black
EVGA SuperNOVA 750 G6,131.77,ATX,gold,750,Full,Black
be quiet! Straight Power 12,249.9,ATX,platinum,1500,Full,Black
Corsair HX1200i,499,ATX,platinum,1200,Full,
CoolMax ZX-500,39.99,ATX,plus,500,false,
Corsair RM850x White,379.99,ATX,gold,850,Full,White / Black
Cooler Master MWE Gold V2 ATX3.0,242.02,ATX,gold,1250,Full,Black
Thermaltake Toughpower SFX,149.99,SFX,gold,850,Full,Black
NZXT C750,,ATX,bronze,750,Semi,Black
Corsair TX750M Gold,,ATX,gold,750,Semi,
Asus TUF Gaming B,85.84,ATX,bronze,550,false,Black
SeaSonic FOCUS Gold,109.99,ATX,gold,550,Semi,
Montech TITAN GOLD 1200W,169.99,ATX,gold,1200,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,,ATX,gold,650,Full,Black
Super Flower LEADEX VII XG,189.99,ATX,gold,1300,Full,Black
EVGA SuperNOVA 850 GA,,ATX,gold,850,Full,Black
Fractal Design Ion Gold,219.65,ATX,gold,850,Full,Black
SeaSonic G12 GM,135.77,ATX,gold,650,Semi,Black / Blue
Xilence XP600R6,89,ATX,,600,false,Black / Red
SeaSonic PRIME Fanless,299.99,ATX,titanium,700,Full,Black
Thermaltake Smart BM2,,ATX,bronze,750,Semi,Black
be quiet! SFX Power 3 300,116.13,SFX,bronze,300,false,Black
PowerSpec GFM,89.99,ATX,gold,750,Full,Black
ADATA XPG Core Reactor II,120.18,ATX,gold,850,Full,Black
Silverstone SX700-PT,141.84,SFX,platinum,700,Full,Black
Corsair RM750e (2022),164.98,ATX,gold,750,Full,Black
Super Flower LEADEX VII XG,174.99,ATX,gold,1000,Full,Black
SeaSonic B12 BC,,ATX,bronze,550,false,
EVGA SuperNOVA 850 P2,,ATX,platinum,850,Full,
Thermaltake Smart RGB 230V,72.23,ATX,plus,600,false,Black
SeaSonic PRIME TX-1600 ATX 3.0,,ATX,titanium,1600,Full,Black / Silver
ADATA XPG PYLON,,ATX,bronze,550,false,Black
EVGA 600 GQ,,ATX,gold,600,Semi,Black
Gigabyte UD850GM PG5 (rev. 2.0),125.98,ATX,gold,850,Full,Black
Corsair RM850 (2019),190,ATX,gold,850,Full,Black
Cooler Master MasterWatt,137.28,ATX,bronze,750,Semi,Black
EVGA SuperNOVA 650 GA,136.99,ATX,gold,650,Full,Black
Xilence XP500R6,92.2,ATX,,500,false,Black / Red
Corsair RM1000e (2022),242.98,ATX,gold,1000,Full,Black
Corsair RM850e (2022),188.02,ATX,gold,850,Full,Black
EVGA SuperNOVA 550 GM,,SFX,gold,550,Full,Black
SeaSonic G12 GC,,ATX,gold,850,false,Black / Blue
Corsair CX450 (2017),,ATX,bronze,450,false,
Cooler Master G600,,ATX,gold,600,false,Black
Mars Gaming MPII650,,ATX,,650,false,Black / Red
Asus TUF Gaming 650B,,ATX,bronze,650,false,Black
be quiet! Straight Power 11,,ATX,platinum,1000,Full,Black
Corsair SF450,,SFX,gold,450,Full,
Cooler Master V750 V2,,ATX,gold,750,Full,White
Corsair CX750,,ATX,bronze,750,false,
ARESGAME AGK,,ATX,gold,850,Full,Black / Red
Thermaltake Toughpower GF1 Snow - TT Premium,136.99,ATX,gold,850,Full,White
Super Flower Leadex III ARGB,169.99,ATX,gold,750,Full,White
Fractal Design Ion+ 2 Platinum,,ATX,platinum,860,Full,Black
Thermaltake Toughpower Grand RGB,144.98,ATX,gold,750,Full,
Corsair HX1000i (2022),300,ATX,platinum,1000,Full,Black
SeaSonic M12II,,ATX,bronze,620,Full,
KOLINK Classic Power,,ATX,bronze,500,false,Black / Red
FSP Group Hydro G Pro,217.85,ATX,gold,1000,Full,Black
Rosewill HIVE S,,ATX,bronze,650,Full,
KOLINK Classic Power,,ATX,bronze,600,false,Black / Red
SeaSonic Prime Fanless PX-450,267,ATX,platinum,450,Full,Black
Silverstone VA550-B,,ATX,bronze,550,false,Black
GAMDIAS KRATOS M1 B,79.98,ATX,bronze,750,false,Black
Super Flower LEADEX VII XG,144.99,ATX,gold,850,Full,Black
SeaSonic FOCUS SPX (2021),197.98,SFX,platinum,750,Full,Black
PowerSpec PS 650GSM,,ATX,gold,650,Semi,Black
EVGA SuperNOVA 650 G7,104.99,ATX,gold,650,Full,Black / Blue
Thermaltake Toughpower SFX 600W Gold,123.97,SFX,gold,600,Full,Black
Phanteks Revolt SFX,122.98,SFX,gold,750,Full,Black
SeaSonic FOCUS SGX,,SFX,gold,500,Full,Black
Corsair HX850i,396,ATX,platinum,850,Full,
Thermaltake Smart RGB,,ATX,plus,700,false,
EVGA SuperNOVA 850 G6,164.99,ATX,gold,850,Full,Black
Thermaltake Smart Pro RGB,,ATX,bronze,650,Full,
Inter-Tech Argus APS,,ATX,,720,false,Black / Orange
EVGA SuperNOVA 1300 G+,289.98,ATX,gold,1300,Full,Black
GameMax RGB Rainbow,,ATX,gold,1050,Full,Black
Super Flower Leadex Platinum,124.99,ATX,platinum,850,Full,Black
Antec NE850G M ATX3.0,129.99,ATX,gold,850,Full,Black
Asus ROG Strix Aura Edition,178.5,ATX,gold,850,Full,Black
SeaSonic FOCUS,,ATX,platinum,650,Full,Black
Deepcool PF750 230V,,ATX,plus,750,false,Black
GameMax RGB,268.99,ATX,platinum,1300,Full,Black
Rosewill HIVE,,ATX,bronze,750,Semi,
Corsair CX550F,,ATX,bronze,550,Full,White / Black
Corsair CX650F,,ATX,bronze,650,Full,White / Black
Super Flower Leadex III Gold,125.99,ATX,gold,550,Full,Black
EVGA SuperNOVA 750 GA,199.99,ATX,gold,750,Full,Black
Silverstone SST-TX300,74.98,TFX,bronze,300,false,Black
EVGA SuperNOVA 1600 G2,497,ATX,gold,1600,Full,
Cooler Master MWE White V2 230V,,ATX,plus,650,false,Black
CoolMax V-400,35.44,ATX,,400,false,
Thermaltake TR2 S,119.33,ATX,plus,700,false,Black
Aerocool Integrator MOD XT,,ATX,bronze,750,Semi,Black / Red
Corsair TX850M Gold,,ATX,gold,850,Semi,
EVGA 600 B1,,ATX,bronze,600,false,
Gigabyte AORUS P GM,219.03,ATX,gold,750,Full,Black / Silver
Corsair CX550M (2021),,ATX,bronze,550,Semi,Black
SeaSonic VERTEX GX-850,194.99,ATX,gold,850,Full,Black / Silver
Deepcool PX-G,159.99,ATX,gold,1200,Full,Black
Thermaltake TPD-0550M,,ATX,gold,550,Semi,
FSP Group FSP400-60FGGBA,109.99,Flex ATX,gold,400,false,
Antec Signature,263.23,ATX,titanium,1000,Full,Black / Silver
GameMax GM,,ATX,bronze,800,Semi,Black
Thermaltake Smart BX1 RGB 750,,ATX,bronze,750,false,Black
Silverstone SX750-PT,,SFX,platinum,750,Full,Black
Montech CENTURY,,ATX,gold,850,Full,Black
Antec CSK,107.05,ATX,bronze,750,Semi,Black / Yellow
NZXT C550,,ATX,bronze,550,Semi,Black
Corsair AX850,,ATX,titanium,850,Full,Black / Silver
FSP Group HV PRO,,ATX,plus,650,false,Black
EVGA SuperNOVA 650 P6,129.99,ATX,platinum,650,Full,Black / Silver
Super Flower Leadex III Gold,125.99,ATX,gold,650,Full,Black
Corsair CX430,,ATX,bronze,430,false,
Corsair RM550x (2021),,ATX,gold,550,Full,Black
Chieftec GPS-600A8,,ATX,plus,600,false,
EVGA SuperNOVA 450 GM,,SFX,gold,450,Full,Black
Sparkle FSP350-60GNV,69.99,SFX,,350,false,
Cooler Master MWE Gold 750,,ATX,gold,750,Full,Black
be quiet! Straight Power 11,,ATX,platinum,750,Full,Black
Asus ROG Strix,,ATX,gold,550,Full,Black / Red
Silverstone HELA 850R,220.01,ATX,platinum,850,Full,Black / Silver
SeaSonic FOCUS,195.09,ATX,platinum,750,Full,Black
Silverstone TX500-G,145.91,TFX,gold,500,false,Black
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black
"FSP Group Hydro Ti PRO,Gen 5",,ATX,titanium,1000,Full,Black
Corsair VS650,,ATX,,650,false,
Cooler Master Elite V3,,ATX,,500,false,Black
SeaSonic G12 GM,119.59,ATX,gold,550,Semi,Black / Blue
Thermaltake Toughpower PF3,,ATX,platinum,1050,Full,Black
Thermaltake Toughpower TF1 - TT Premium,499.99,ATX,titanium,1550,Full,Black
Silverstone SX1000R-PL,269.99,SFX,platinum,1000,Full,Black / White
Deepcool PQ650M,,ATX,gold,650,Full,Black
Enermax CYBERBRON,,ATX,bronze,500,false,Black / Silver
Chieftec GPS-700A8,,ATX,bronze,700,false,Black / White
ADATA XPG FUSION 1600,569.99,ATX,titanium,1600,Full,Black / Silver
SHARKOON SilentStorm Cool Zero 750,162.09,ATX,gold,750,Full,Black
Thermaltake Toughpower GF1 Snow - TT Premium,,ATX,gold,750,Full,White
Thermaltake Toughpower Grand RGB,,ATX,gold,850,Full,
be quiet! Pure Power 11,,ATX,gold,600,false,Black
SeaSonic PRIME 600 Titanium,,ATX,titanium,600,Full,Black
EVGA 500 B1,,ATX,bronze,500,false,
Cooler Master V850 Gold i,158.06,ATX,gold,850,Full,Black / Gold
SeaSonic CORE GM,,ATX,gold,650,Semi,Black
Lian Li PE,,SFX,platinum,750,Full,
Enermax REVOLUTION D.F. 2,149.99,ATX,gold,1200,Full,Black
Cooler Master G500,,ATX,gold,500,false,Black
Thermaltake Toughpower SFX,159.99,SFX,gold,750,Full,Black
Corsair TX550M,,ATX,gold,550,Semi,Black
Asus Prime AP-850G,139.99,ATX,gold,850,Full,White / Black
KOLINK Core RGB,,ATX,plus,500,false,Black
NOX Hummer,83.71,ATX,bronze,650,Semi,
Corsair CS650M,189,ATX,gold,650,Semi,
EVGA SuperNOVA NEX650G Gold,,ATX,gold,650,Full,
be quiet! Straight Power 11 550W,109.9,ATX,gold,550,Full,
EVGA 430 W1,,ATX,plus,430,false,
Aerocool AER-P7-P650W,,ATX,platinum,650,Full,
Corsair VS500 (2020),,ATX,bronze,500,false,Black
Gigabyte UD1300GM PG5,150.88,ATX,gold,1300,Full,Black
SeaSonic PRIME TX-750,353.32,ATX,titanium,750,Full,Black
SeaSonic PRIME TX-1300 ATX 3.0,,ATX,titanium,1300,Full,Black / Silver
Deepcool DQ-M-V2L,196.67,ATX,gold,850,Full,Black / Green
Corsair CX550F,159.99,ATX,bronze,550,Full,Black
EVGA SuperNOVA 650 G1,223.49,ATX,gold,650,Full,
Cooler Master V SFX Gold ATX 3.0,,SFX,gold,750,Full,Black
SHARKOON SilentStorm Cool Zero 650,149.69,ATX,gold,650,Full,Black
Fractal Design Ion Gold,118.77,ATX,gold,550,Full,Black
EVGA SuperNOVA 750 P2,236.78,ATX,platinum,750,Full,
be quiet! Pure Power 11 FM 650,107.89,ATX,gold,650,Full,Black
Corsair RM650,223.29,ATX,gold,650,Full,
SeaSonic FOCUS Plus 550 Gold,,ATX,gold,550,Full,
NZXT E850,152.07,ATX,gold,850,Full,Black
SeaSonic Prime Fanless PX-500,291,ATX,platinum,500,Full,Black
EVGA 1000 GQ,390,ATX,gold,1000,Semi,
Gigabyte AORUS P GM,,ATX,gold,850,Full,Black / Silver
iTek GF EVO,,ATX,gold,650,Full,Black
EVGA SuperNOVA 1000 T2,,ATX,titanium,1000,Full,
Thermaltake Toughpower GF1 ARGB,,ATX,gold,750,Full,
Super Flower Leadex Titanium,169.99,ATX,titanium,850,Full,Black
Asus ROG Strix Aura Edition,164.99,ATX,gold,750,Full,Black
SeaSonic PRIME 1300 Gold,281.99,ATX,gold,1300,Full,Black
Silverstone SFX,158.38,SFX,platinum,700,Full,
Cougar POLAR,265.58,ATX,platinum,1200,Full,White
Deepcool PF450 230V,,ATX,plus,450,false,Black
MSI MAG A600DN,,ATX,plus,600,false,Black
EVGA SuperNOVA 1000 G3,,ATX,gold,1000,Full,
Enhance ENP-7660,,Flex ATX,platinum,600,false,Silver
Silverstone Essential,74.98,ATX,gold,550,false,Black / Yellow
Corsair RM550x,,ATX,gold,550,Full,
Thermaltake Litepower,,ATX,,550,false,
Cooler Master Elite 400 V3,63.49,ATX,plus,400,false,Black
SeaSonic CORE GM,,ATX,gold,500,Semi,Black
Fractal Design Ion SFX 650G,,SFX,gold,650,Full,Black
Rosewill HIVE,,ATX,bronze,650,Semi,
Phanteks Revolt X,,ATX,platinum,1200,Full,Black / Silver
SeaSonic VERTEX PX-850,238.98,ATX,platinum,850,Full,Black / Silver
EVGA SuperNOVA 550 GA,183.37,ATX,gold,550,Full,Black
Corsair GS800,299.99,ATX,bronze,800,false,
FSP Group Hydro G Pro,,ATX,gold,750,Full,Black
Corsair RM750i,,ATX,gold,750,Full,
NOX URANO TX,,ATX,,850,false,
ADATA XPG Core Reactor II,104.99,ATX,gold,750,Full,Black
RAIJINTEK CRATOS,,ATX,gold,850,Full,White
Thermaltake Toughpower PF3,,ATX,platinum,1200,Full,Black
"FSP Group Hydro PTM PRO,Gen5",267.99,ATX,platinum,1200,Full,Black
Antec High Current Gamer Gold,171.66,ATX,gold,750,Full,Black
be quiet! Straight Power 11,,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 1200 P2,,ATX,platinum,1200,Full,
be quiet! System Power 9,,ATX,bronze,500,false,Black
SeaSonic G12 GC,,ATX,gold,550,false,Black / Blue
Corsair AX860,,ATX,platinum,860,Full,
Cooler Master V750 Gold V2,,ATX,gold,750,Full,Black
be quiet! Dark Power Pro 12,,ATX,titanium,1500,Full,Black
EVGA SuperNOVA 550 GS,,ATX,gold,550,Full,
Corsair RM1000,,ATX,gold,1000,Full,
Corsair TX650,255,ATX,plus,650,false,
Silverstone Essential,59.99,ATX,bronze,550,false,Black
Fractal Design Ion SFX 500G,,SFX,gold,500,Full,Black
Corsair TX750,,ATX,plus,750,false,
Silverstone Strider Titanium,357.99,ATX,titanium,1300,Full,Black / Blue
SeaSonic PRIME PX,377.5,ATX,platinum,1000,Full,Black / Silver
be quiet! Straight Power 11 1000W,243.29,ATX,gold,1000,Full,
Corsair HX750,,ATX,platinum,750,Full,Black
be quiet! Straight Power 11 650W,,ATX,gold,650,Full,
Cooler Master V SFX Gold ATX 3.0,,SFX,gold,850,Full,White
ADATA XPG KYBER,,ATX,gold,750,false,Black
EVGA SuperNOVA 1200 P3,498.62,ATX,platinum,1200,Full,Black / Silver
GAMDIAS KRATOS E1,124,ATX,plus,600,false,Black
Gigabyte B700H,,ATX,bronze,700,Semi,Black
SeaSonic M12II EVO,,ATX,bronze,520,Full,Black
GAMDIAS KRATOS M1 B,,ATX,bronze,550,false,Black
Antec NE1000G M White ATX 3.0,179.99,ATX,gold,1000,Full,White
EVGA SuperNOVA 650 G6,109.99,ATX,gold,650,Full,Black
Montech CENTURY G5,125,ATX,gold,850,Full,Black
FSP Group Hydro GE,89.99,ATX,gold,650,Full,
Corsair HX750i,,ATX,platinum,750,Full,
EVGA 460 BP,,ATX,bronze,460,false,Black
Corsair AX760,,ATX,platinum,760,Full,
Thermaltake Toughpower GX1,91.82,ATX,gold,600,Semi,Black
be quiet! Dark Power 12,289.14,ATX,titanium,750,Full,Black
Cooler Master V650,129.99,ATX,gold,650,Full,
EVGA SuperNOVA 1300 G2,,ATX,gold,1300,Full,
ARESGAME AGT,,ATX,gold,1000,Full,Black
SeaSonic PRIME Platinum,266.99,ATX,platinum,1000,Full,
Fractal Design Ion+ 2 Platinum,,ATX,platinum,760,Full,Black
EVGA SuperNOVA 650 P2,,ATX,platinum,650,Full,
SHARKOON SilentStorm,116.48,SFX,gold,500,Full,Black
