name,price,socket,form_factor,max_memory,memory_slots,color
Gigabyte Z790 AORUS PRO X,349.99,LGA1700,ATX,192,4,Silver
MSI B450 Gaming Plus MAX,89.99,AM4,ATX,128,4,Red / Black
Gigabyte B550M DS3H,122.89,AM4,Micro ATX,128,4,Black / Gold
ASRock Z690M-ITX/ax,134.99,LGA1700,Mini ITX,64,2,Silver / Black
Gigabyte H410M H V2,96.83,LGA1200,Micro ATX,64,2,Gray / Black
Asus TUF GAMING Z790-PLUS WIFI D4,199.99,LGA1700,ATX,128,4,Black
Gigabyte B760M DS3H DDR4,109.99,LGA1700,Micro ATX,128,4,Black
Gigabyte B760 GAMING X AX,169.99,LGA1700,ATX,192,4,Black / Gray
MSI PRO A620M-E,74.98,AM5,Micro ATX,96,2,Black
MSI PRO B760M-A WIFI DDR4,149.99,LGA1700,Micro ATX,128,4,Black
Gigabyte B550M AORUS ELITE AX,122.35,AM4,Micro ATX,128,4,Black / Silver
MSI MAG B660 TOMAHAWK WIFI DDR4,189.99,LGA1700,ATX,128,4,Black / Silver
ASRock B550M-ITX/ac,129.99,AM4,Mini ITX,64,2,Silver / Black
Gigabyte A520M S2H,74.98,AM4,Micro ATX,64,2,Black
Asus TUF GAMING X670E-PLUS WIFI,279.99,AM5,ATX,192,4,Black / Orange
NZXT N7 B650E,282.74,AM5,ATX,128,4,Black
Gigabyte A620I AX,129.99,AM5,Mini ITX,96,2,Black / Gray
Asus PRIME Z790-P WIFI,236,LGA1700,ATX,192,4,Black / Silver
Asus ROG CROSSHAIR X670E HERO,649.99,AM5,ATX,192,4,Black / Silver
ASRock B650E PG RIPTIDE WIFI,201.27,AM5,ATX,192,4,Black / Blue
ASRock B550 Phantom Gaming 4/ac,109,AM4,ATX,128,4,Silver / Black
Asus ROG STRIX B550-F GAMING,179.99,AM4,ATX,128,4,Black
MSI A520M-A PRO,69.99,AM4,Micro ATX,64,2,Black
Asus ROG STRIX B760-A GAMING WIFI D4,214.99,LGA1700,ATX,128,4,Silver / Black
ASRock X670E Steel Legend,279.99,AM5,ATX,192,4,Black / White
MSI PRO Z690-A WIFI,159.99,LGA1700,ATX,192,4,Black / Silver
MSI PRO B650-S WIFI,,AM5,ATX,192,4,Black
Gigabyte A520M DS3H V2,89.54,AM4,Micro ATX,128,4,Gray / Brown
MSI B450 TOMAHAWK MAX,,AM4,ATX,128,4,Black
MSI PRO X670-P WIFI,226.8,AM5,ATX,192,4,Black / White
MSI MEG Z790 GODLIKE MAX,1196.99,LGA1700,EATX,192,4,Black
MSI MAG B760 TOMAHAWK WIFI DDR4,169.99,LGA1700,ATX,128,4,Black
MSI PRO Z790-A WIFI,219.99,LGA1700,ATX,192,4,Black / Silver
MSI MPG B650I EDGE WIFI,268.68,AM5,Mini ITX,96,2,Black / Silver
