name,price,size,color,rpm,airflow,noise_level,pwm
Corsair SP120 ELITE,14.99,120,Black,"300,1300","6.37,45.4","5,20.6",true
ARCTIC P12 PST A-RGB 0dB,16.98,120,Black,,48.8,,true
NZXT F120 RGB DUO 3-Pack,93.99,120,Black,"500,1800",48.58,29,true
Corsair LL120,25.99,120,Black,"600,1500",43.25,24.8,true
Corsair iCUE AR120 Digital RGB 3-Pack,44.99,120,White,"400,1850","10.7,59","10,27.3",true
Phanteks D30-120,33.98,120,Black,"250,2000",64.3,30.2,true
Lian Li UNI FAN SL V2,28.99,140,White / Silver,"250,1600",77.6,29,true
Phanteks PH-F120T30 3-Pack,85.98,120,Black / Gray,,67,27.3,true
Phanteks D30-120 3-Pack,89.99,120,Black,"250,2000",64.3,30.2,true
Fractal Design Silent R2,,120,White,1200,40.6,15,false
NZXT F RGB Core 2-Pack,,140,Black,"500,1800","24.85,89.48","20,32.5",true
Thermalright TL-S12 X3 3-Pack,16.89,120,Black,1500,47.6,23.2,true
Cooler Master SickleFlow 3-Pack,48.44,120,Black,"650,1800",62,"8,27",true
ARCTIC P12 Slim PWM PST 3-Pack,23.63,120,Black,"300,2100",42.1,22.5,true
NZXT F120 RGB DUO 3-Pack,124.73,120,White,"500,1800",48.58,29,true
Corsair iCUE AF120 RGB SLIM,27.99,120,Black,"600,2000","13.4,56.3",27.5,true
Thermaltake SWAFAN EX12 ARGB 3-Pack,79.98,120,White,"500,2000","56.26,57.11","30.6,32.5",true
Lian Li UNI SL120 3-Pack,104,120,Black,"800,1900",58.54,"17,31",true
ARCTIC P14 PWM PST A-RGB,21.99,140,Black,,"0,68",,true
Phanteks PH-F120T30,32.98,120,Black / Gray,,67,27.3,true
Phanteks D30-120 Reversed,33.98,120,Black,"250,2000",61.5,31.8,true
Lian Li UNI SL120 3-Pack,,120,White,"800,1900",58.54,"17,31",true
ARCTIC P14 PST,12.99,140,White,"200,1700",72.8,22.5,true
Noctua F12 PWM chromax.black.swap,24.75,120,Multicolor,"300,1500",54.97,22.4,true
be quiet! Silent Wings 4,19.89,120,Black,1600,48.7,18.9,true
Corsair iCUE ML RGB ELITE Premium 3-Pack,64,120,Black,"450,2000","14.86,58.1","10,30.4",true
Phanteks D30-120,33.98,120,White,"250,2000",64.3,30.2,true
Lian Li UNI FAN AL120 V2,19.99,120,White,"250,2000",77.3,28.7,true
Cooler Master SickleFlow,18.03,120,Black,"650,1800",62,"8,27",true
Corsair AF140L,4.99,140,Black / Gray,1000,67.43,,false
Thermalright TL-C12RW-S V2,6.99,120,Black / White,1500,58,25.6,true
Noctua A12x15 PWM,21.95,120,Brown,"450,1850","41.67,55.44","16.8,23.9",true
Corsair AF120 (2018) 3-Pack,37.04,120,Black / White,1400,52,26,false
Lian Li UNI FAN SL V2 120 5-Pack,129.99,120,Black,"250,2000",64.5,29.2,true
Lian Li UNI FAN TL 120 3-Pack,109.99,120,Black,"200,2600",90.1,33,false
Noctua S12A PWM chromax.black.swap,22.9,120,Multicolor,"300,1200",63.27,17.8,true
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,119.99,140,White,"400,2400","12.1,82.5",,true
NZXT F140 RGB 2-Pack,69.98,140,White,"500,1800","24.85,89.48","20,32.5",true
Phanteks D30-120 3-Pack,89.99,120,White,"250,2000",64.3,30.2,true
Thermaltake SWAFAN EX12 ARGB 3-Pack,73.98,120,Black,"500,2000","56.26,57.11","30.6,32.5",true
Noctua P14s redux-1500 PWM,16.95,140,Black / Gray,"450,1500",78.69,25.8,true
NZXT F120 RGB,24.99,120,Black,"500,1800","13.94,50.18","17.2,27.5",true
Corsair iCUE SP RGB ELITE,24.99,120,White,"400,1500",47.73,28,true
Deepcool FC120,19.98,120,Black,"500,1800",,,true
Lian Li UNI FAN P28 3-Pack,47.89,120,White,"200,2600","44.94,92","20.4,32.1",true
Corsair AF140 Quiet,,140,Black,1150,67.8,24,false
Thermalright TL-S12W X3 3-Pack,15.29,120,White,1500,47.6,23.2,true
Thermaltake Riing Trio 14 RGB TT Premium Edition 3-Pack,140.29,140,Black,"500,1400",60.68,26.5,true
Noctua S12B redux-1200 PWM,14.95,120,Black / Gray,"400,1200",59.1,18.1,true
NZXT F120P,18.98,120,Black,"500,1800","21.67,78.02","17.9,30.6",true
Corsair iCUE QL120 3-Pack,95.99,120,White / Black,"525,1500",41.8,26,true
Montech AX120,17.98,120,Black,"800,1600",59,27,true
Lian Li UNI FAN SL V2 120 5-Pack,129.99,120,White,"250,2000",64.5,29.2,true
Lian Li UNI FAN SL V2 120 Reverse,25.99,120,White,"250,2000",65.4,32,true
Lian Li UNI FAN TL 120 Reverse Blade 3-Pack,109.99,120,Black,"200,2300",83.4,34,false
be quiet! Silent Wings 4,23.9,140,Black,1100,51.3,13.6,true
upHere T7SYC7 6-Pack,43.99,120,Black,"600,1700",,"16.1,27.7",true
ARCTIC F12 PST 5-Pack,28.98,120,Black,"230,1350",53,22.5,true
Corsair iCUE AR120 Digital RGB,19.98,120,Black,"400,1850","10.7,59","10,27.3",true
Cooler Master SickleFlow 120 ARGB 3 In 1 3-Pack,52.99,120,White,"650,1800",62,"8,27",true
NZXT F RGB Core,31.98,140,Black,"500,1800","24.85,89.48","20,32.5",true
Cooler Master MasterFan MF Halo,21.99,120,Black,"650,1800",47.2,"6,30",true
Corsair iCUE SP140 RGB ELITE 2-Pack,69.98,140,Black / White,"405,1200",,,true
Corsair iCUE AF140 RGB ELITE 2-Pack,74.98,140,Black,"500,1700","19.5,89","5,33.8",true
NZXT F120Q,23.92,120,White,"500,1200","27.77,64","16.7,22.5",true
Lian Li UNI FAN AL140 V2,30.99,140,Black,"250,1600",81.3,26.8,true
ARCTIC P12 5-Pack,23.99,120,Black,1800,56.3,,false
Asus TUF Gaming TF120 ARGB,12.99,120,Black / White,"250,1900",76,29,true
Thermalright TL-E12B EXTREM,5.99,120,Black,1850,78,27.7,true
ARCTIC P12,8.49,120,Black,1800,56.3,,false
NZXT F120 RGB DUO,32.99,120,White,"500,1800",48.58,29,true
Thermalright TL-C12C,6.59,120,Black,1550,66.17,25.6,true
be quiet! Light Wings PWM high-speed 3-Pack,84.9,140,Black,2200,71.7,31,true
