name,price,capacity,price_per_gb,type,cache,form_factor,interface
Corsair MP700 PRO,299.99,2000,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial P3,230.16,4000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,79.99,4000,0.02,5400,256,3.5,SATA 6.0 Gb/s
Western Digital Blue SN550,126,1000,0.126,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M450,40.98,500,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M570 HS,317.66,2000,0.159,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Black SN850X w/Heatsink,159.99,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,27.2,120,0.227,SSD,,2.5,SATA 6.0 Gb/s
Samsung 870 QVO,134.99,2000,0.067,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,179.99,8000,0.022,7200,256,3.5,SATA 6.0 Gb/s
Samsung 870 QVO,269.99,4000,0.067,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,229,4000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power P34A60,38.97,512,0.076,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,69.9,500,0.14,SSD,,2.5,SATA 6.0 Gb/s
Samsung 970 Evo,79.98,500,0.16,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Solidigm P44 Pro,174.99,2000,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,38.38,250,0.154,SSD,512,2.5,SATA 6.0 Gb/s
MSI SPATIUM M450,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,39.99,1000,0.04,5400,64,3.5,SATA 6.0 Gb/s
Solidigm P44 Pro,87.99,1000,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,139.99,1000,0.14,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Intel 670p,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation ES.3,25.5,1000,0.025,7200,128,3.5,SATA 6.0 Gb/s
