name,price,capacity,price_per_gb,type,cache,form_factor,interface
Crucial T700 W/Heatsink,199.99,1000,0.2,SSD,,M.2-2280,M.2 PCIe 5.0 X4
SanDisk SSD PLUS,26.05,240,0.109,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,199.99,12000,0.017,7200,256,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,287.11,16000,0.018,7200,256,3.5,SATA 6.0 Gb/s
Corsair MP600,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NQ100,59.99,960,0.062,SSD,,2.5,SATA 6.0 Gb/s
MSI SPATIUM M371,115.41,2000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA Legend 850,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4 7300,,1000,,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33 PRO,95.99,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700 PRO w/Heatsink,324.99,2000,0.162,SSD,,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP MS30,57.99,1000,0.058,SSD,,M.2-2280,M.2 SATA
PNY CS900,78.12,1000,0.078,SSD,,2.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,273.14,16000,0.017,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Blue,104.99,6000,0.017,5400,256,3.5,SATA 6.0 Gb/s
MSI SPATIUM M480 PRO,155.1,1000,0.155,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,77.5,2000,0.039,5400,256,3.5,SATA 6.0 Gb/s
Inland Performance Plus,819.99,8000,0.102,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4.0,149.99,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS1030,94.99,2000,0.047,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 GS,74.99,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Pro,,512,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Patriot P210,18.98,256,0.074,SSD,,2.5,SATA 6.0 Gb/s
Samsung 960 Pro,689.95,2000,0.345,SSD,2048,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SA510,64.95,1000,0.065,SSD,,2.5,SATA 6.0 Gb/s
